Z1mass,Z2mass,pt4l,eta4l,massjj,detajj,HT,dRZ1Z2,target
89.41,22.98,186.9,-1.406,1418.0,5.315,251.4,0.3176,1.0
50.19,37.66,88.72,1.8130000000000002,42.11,0.2824,91.03,1.6130000000000002,0.0
92.87,30.03,108.4,0.1843,416.8,2.403,305.1,0.491,1.0
90.89,28.87,20.05,-1.9369999999999998,184.1,2.08,195.4,2.4130000000000003,1.0
85.11,36.78,65.15,0.187,280.3,3.477,121.1,0.9111,0.0
99.91,17.66,57.25,-0.2512,73.45,0.4556,107.8,1.594,0.0
90.66,22.75,123.4,1.473,151.6,1.386,207.7,0.8682,0.0
90.42,32.85,86.3,2.31,322.5,3.997,158.4,0.4253,1.0
75.77,44.56,82.97,1.87,78.4,1.649,98.38,0.7848,0.0
91.83,26.51,60.75,1.475,66.27,0.2906,172.7,1.078,1.0
85.46,21.88,40.4,1.746,170.8,2.864,78.31,1.3969999999999998,1.0
83.88,33.19,120.0,-2.4619999999999997,94.66,1.048,166.6,0.7253,0.0
95.38,25.19,48.73,-0.6151,28.46,0.7841,62.78,1.714,0.0
92.5,22.15,131.4,-0.5371,1950.0,7.065,139.0,0.9511,0.0
89.65,19.57,137.2,-0.8014,133.8,0.9827,165.5,1.015,0.0
92.28,25.0,130.2,-0.772,102.0,1.838,114.0,0.6219,0.0
88.13,23.96,98.48,-2.112,125.0,2.324,88.03,1.055,0.0
90.03,19.44,179.5,-0.03167,347.6,3.0469999999999997,205.0,0.598,0.0
90.16,19.72,104.1,-1.6969999999999998,365.6,1.673,416.9,1.099,0.0
85.02,24.32,171.7,0.8608,2955.0,6.547999999999999,250.8,0.3532,1.0
91.42,23.08,86.2,-1.143,238.1,4.1819999999999995,61.7,0.7455,0.0
70.88,29.85,112.6,-1.62,211.7,2.181,137.9,2.214,1.0
91.41,17.52,84.61,0.1244,1369.0,5.968,174.2,1.125,0.0
90.7,30.8,58.17,-1.406,422.5,1.8619999999999999,326.3,0.7349,1.0
91.23,20.06,132.1,-0.9738,208.7,0.9114,210.6,0.7852,0.0
91.84,27.08,119.7,-0.3654,274.4,3.688,105.3,0.7324,1.0
89.64,23.47,51.13,2.69,489.7,3.964,139.9,1.127,1.0
94.13,22.59,46.36,-2.58,292.7,2.161,208.9,1.643,1.0
88.3,32.99,165.0,-0.9444,249.1,1.329,360.9,0.2903,0.0
78.36,37.04,54.76,-1.7,256.3,2.83,131.4,1.392,1.0
91.14,22.63,170.7,-0.2994,1903.0,5.678999999999999,293.1,0.951,1.0
74.22,41.82,167.0,0.7776,107.4,1.126,286.6,0.466,0.0
89.71,21.18,169.0,1.347,68.49,0.5336,354.4,0.8142,0.0
91.69,27.84,116.5,0.5866,115.5,0.1297,202.4,0.3229,1.0
74.36,25.21,74.78,-1.1420000000000001,350.4,3.6710000000000003,112.7,1.5630000000000002,1.0
90.09,24.14,152.3,0.2515,277.0,2.628,190.0,0.5951,1.0
66.08,40.28,79.4,-0.4687,60.15,1.151,103.1,1.661,0.0
91.9,27.44,150.1,2.09,336.8,3.11,141.8,0.557,0.0
90.94,24.51,39.6,-1.585,148.9,0.2277,187.9,2.131,1.0
88.97,26.29,108.4,1.9780000000000002,1418.0,3.282,536.2,1.248,1.0
91.03,29.8,153.1,-0.6353,740.8,5.5920000000000005,101.1,0.4148,1.0
67.93,31.21,158.2,-2.09,106.5,1.778,165.8,0.9197,0.0
93.22,30.06,47.66,0.4232,419.8,4.917,74.62,0.6375,0.0
91.63,19.54,108.4,-0.6026,192.1,1.492,189.0,1.29,1.0
89.38,17.76,134.2,0.7602,298.1,2.9560000000000004,144.0,0.5555,1.0
91.19,28.74,46.58,0.7096,106.5,2.682,53.87,1.3980000000000001,0.0
91.11,33.18,61.18,0.215,2159.0,6.996,133.6,0.4536,1.0
91.09,18.15,16.99,2.197,197.3,3.9210000000000003,54.08,3.161,1.0
89.51,15.22,211.1,1.32,108.0,1.3259999999999998,166.7,0.8017,1.0
88.08,28.24,147.9,-0.55,608.5,4.544,168.1,0.7814,1.0
90.56,33.18,39.42,2.306,361.1,3.7110000000000003,112.8,1.2209999999999999,1.0
91.24,15.31,148.9,1.9369999999999998,79.26,1.173,156.0,1.315,0.0
64.25,30.38,250.0,0.5097,524.2,1.835,463.4,0.6593,0.0
71.54,46.87,135.7,0.7542,79.4,1.013,124.4,0.3372,0.0
90.49,23.8,71.57,-0.2458,1186.0,5.537000000000001,163.1,0.5566,1.0
95.89,26.33,50.6,-2.103,590.0,4.687,113.2,1.0,1.0
91.96,14.34,79.06,2.195,127.8,2.292,88.74,0.9789,1.0
93.68,23.94,84.64,1.073,35.28,0.7051,96.64,1.446,0.0
87.62,35.63,97.69,-1.274,94.33,0.026430000000000002,183.9,0.2941,1.0
90.36,22.84,206.8,-1.018,765.1,4.105,391.0,0.3098,1.0
83.12,38.44,82.53,0.736,105.3,0.7676,153.6,0.7759,0.0
49.82,41.89,50.69,0.2831,15.3,0.3454,53.74,2.533,1.0
93.59,14.16,85.41,-0.5147,1568.0,6.587999999999999,150.4,1.615,1.0
90.86,21.78,146.2,0.8362,32.76,0.4453,106.9,0.7794,1.0
86.83,34.17,45.95,1.578,24.73,0.5821,64.76,1.476,0.0
91.57,27.88,184.1,2.075,39.7,0.1411,211.0,0.4462,0.0
76.18,32.85,46.2,-0.02878,209.3,3.7510000000000003,66.07,1.874,0.0
91.37,20.1,260.5,-2.059,397.9,1.122,461.3,0.5356,0.0
91.56,20.55,205.6,-0.7133,1232.0,5.9479999999999995,129.0,0.8466,1.0
90.23,25.0,107.3,-0.8155,37.51,0.1464,212.5,1.465,0.0
58.33,30.67,218.7,-1.125,366.2,1.188,426.6,0.7446,0.0
81.72,30.8,79.58,-1.207,79.02,1.262,97.13,1.062,0.0
86.83,31.93,3.585,-3.758,358.7,4.925,61.18,2.9610000000000003,0.0
90.2,28.74,83.74,-1.683,22.7,0.3611,96.81,0.522,0.0
84.17,17.22,151.7,1.695,34.6,0.4189,148.6,0.6621,0.0
70.01,51.75,211.2,2.07,383.7,3.515,175.1,0.2236,0.0
